,accuracy,communication,cleanliness,location,checkin,value,avgRating
9900001,3.67,2.33,3,2.67,5,4,2.67
9900002,2.2,1.8,3.4,2.4,3.2,2.2,3.80
9900003,2.5,3,3,2,3.5,3.5,3.00
9900004,2.8,4,3,3.2,3.6,3.2,3.00
9900005,4,2,3,3.25,3.5,2.25,1.75
9900006,2.57,2.29,3.43,2.71,3.14,2.14,3.43
9900007,2.67,2.67,2.33,3.67,4.33,3.33,3.33
9900008,3.8,2.6,3.8,3.4,2.8,3.2,3.20
9900009,2.83,2.83,2.67,2.33,3.33,3,2.50
9900010,3.67,2.33,3,2.67,2.67,2,2.67
9900011,2,2.75,4,3,2.75,3.25,4.00
9900012,2.5,3.75,2.5,3.25,3.5,2.75,2.25
9900013,3.25,3.25,4,1.5,3,3.25,4.50
9900014,4.33,1.33,5,3,2.67,1.33,2.67
9900015,2.86,2.14,3.57,4,2.86,3.43,4.14
9900016,3.43,3.57,3,1.71,3.29,3.29,3.29
9900017,3.2,2.8,3.6,3.2,3.2,2.8,3.40
9900018,4.14,3.57,2.29,2.86,3.43,2.86,2.43
9900019,2,3,3,2,1.67,4.33,1.67
9900020,3.75,2.25,2.5,3,3.5,1.5,3.00
9900021,3.43,3.29,2.14,3.29,2.29,3.57,3.57
9900022,2,2.5,3.5,4,2.5,2.75,3.75
9900023,3.17,2.83,2.33,3.17,3,3.17,3.67
9900024,3.67,2.33,3,4,2.67,1.67,4.00
9900025,4.4,2.6,3.4,3.2,3,3,3.40
9900026,2.33,2.67,4.17,3.33,2.5,2.67,4.00
9900027,2,5,2.67,2,2.33,3,3.33
9900028,2.67,3,3,1,2.33,3.67,4.00
9900029,3.57,3.29,2,2.86,3.14,3.14,3.00
9900030,3.5,3.25,2.5,2,2,3.5,3.50
9900031,3.2,3.2,3.2,2.4,3.4,1.6,3.20
9900032,2.6,2.2,3,3.6,2.6,3,3.60
9900033,3.29,2.71,3.29,2.86,2.86,2.43,2.71
9900034,4,3.2,3.6,3.8,1.8,3.6,3.00
9900035,3,3.33,3.67,2,3.67,3.67,3.33
9900036,3.5,2.67,3,2.67,3.67,3.5,3.00
9900037,3.17,2.67,2.67,2.33,3.67,4.17,3.00
9900038,2.25,2.25,4.25,3.5,3.25,3,3.00
9900039,3.86,4.29,3.43,3.14,1.86,2.86,2.00
9900040,2.67,2.33,2,4,2.33,4.33,2.00
9900041,3,3.8,2.6,3.8,3.2,3.2,2.20
9900042,3.5,3,1.67,4,3.67,2.67,3.50
9900043,3.4,1.6,4,2,2.4,4,3.80
9900044,4.2,3,3,3.4,3.2,2.2,2.00
9900045,2.8,3.6,2.6,3.6,3.4,2.6,2.20
9900046,2.6,3.2,4.2,3,3.6,3,2.80
9900047,2.8,3.6,2.4,2.2,3.2,2.2,3.00
9900048,2.29,2.43,2.71,2.29,3,3.71,2.86
9900049,2.67,2.83,2.17,3.67,3.17,3.67,2.50
9900050,3.33,2.67,2,2.67,2.33,2.67,2.67
9900051,1.29,2.57,3.43,3.14,3,2.86,2.86
9900052,2.25,2.25,3,4,3.5,3,2.25
9900053,3.67,3,2.67,1.67,2,3,1.67
9900054,4.5,2,3.25,3.25,1.5,3.75,2.75
9900055,3.86,3.14,2.43,2.57,2.86,3,3.00
9900056,2.71,2.71,3.57,2.71,3,2.14,3.43
9900057,3.4,2.8,3.2,4.4,4.2,3.2,1.80
9900058,2.33,2.83,2.67,2.5,3.67,3,2.33
9900059,2.6,2.2,3,1.6,3.6,3,3.40
9900060,3.2,2.2,2.8,3.2,2.8,3.6,2.40
9900061,3.43,3.43,3,2.71,2.86,2.29,3.86
9900062,3.33,3.67,2.67,2.67,2.67,3.17,3.00
9900063,2.8,2.6,2.4,3,3.2,2.8,3.40
9900064,3,3.67,4,3.33,2.33,3.67,2.67
9900065,3.71,3.14,3.29,2.14,2.29,3.43,2.71
9900066,2.6,2.2,3,3.2,2.8,3,2.40
9900067,2.75,3,4.25,3.75,1.75,3.25,4.00
9900068,3.71,3.29,2.86,3.29,3.57,3.43,3.86
9900069,2.8,3,4.4,3,3.2,3.2,2.40
9900070,2.2,3,4.2,3.6,2.8,2.8,2.80
9900071,3.33,1.33,1.67,3,3,2.67,2.00
9900072,3,2.86,3.86,3.14,2.14,4,3.71
9900073,3,2,3.67,3.33,3,2.67,2.33
9900074,1.75,2.5,2.5,3,1.5,3,2.75
9900075,3.33,3,3.17,3,3.5,2.67,1.50
9900076,3.5,3,2,3.67,3,2.83,3.00
9900077,3.86,2.43,3.14,3.14,2.57,3.57,3.57
9900078,2.2,3.8,2.8,3,3.2,3.6,3.40
9900079,3.33,3.17,3.33,3,2.5,2.83,3.67
9900080,1.86,3,3.43,3.86,2.71,2.71,2.57
9900081,3.14,3.43,2.57,3,3,2.43,2.43
9900082,2.67,2.33,4.83,2.5,3,4,3.00
9900083,3.5,2.75,2,1.75,3.75,2.5,3.25
9900084,2.14,4,3,3,2.14,2.57,3.71
9900085,2.43,3.57,2.71,2.86,3.14,3.57,3.71
9900086,3.6,2,3.4,2.4,3.4,3.2,4.00
9900087,2.33,1.33,3,2,2.67,2.33,2.67
9900088,2.75,2,2.5,3.5,1.75,2,3.00
9900089,3,4.25,3.25,3,4.25,3.5,4.00
9900090,3,2.5,3.75,2.75,2.5,4.25,3.25
9900091,3.33,3,3.17,4,3.5,3.17,2.17
9900092,2.5,3.5,4,3,3,4.25,2.50
9900093,2,2.6,3.4,2.4,3,3.4,3.00
9900094,2.14,2.43,3.43,3.29,2.29,3.57,2.86
9900095,3.2,4,2.4,3,2.6,3,2.60
9900096,2,2.71,3.86,3.29,2.86,2.86,4.14
9900097,3,3,3.2,2.8,2.8,2.8,3.20
9900098,3.67,2.33,2,2.67,3.33,2.33,3.33
9900099,4.33,3.33,3,2.67,2.33,3.67,1.33
9900100,2.33,3.33,3.33,3.67,3,3.67,2.00
9900101,1.33,2.33,3,2.67,3.67,4,2.33
9900102,4.17,3.67,2,2.83,2.5,2.83,3.67
9900103,3,3,2.25,3.75,3.25,2,3.25
9900104,2.33,3.5,3,2.5,3.67,3,4.00
9900105,3.75,3.75,2.5,2.5,3.5,4.25,2.25
9900106,2.75,2.75,3.25,3,2.75,3.75,2.75
9900107,2.86,3.43,2.57,3.71,3.43,2.29,2.71
9900108,4,3.5,2.25,4.5,3.5,2.5,4.00
9900109,3.67,2.33,2,1.33,4.33,2.33,3.67
9900110,1.67,1.33,3.67,3,3,2,3.33
